Name,Symbol,Market_Cap,Price,Circulating_Supply,Volume,Scrapping_Time
Bitcoin,BTC,90588631815.3,5137.5544007,17632637.0,17051926081.3,20190407121700
Ethereum,ETH,17610809398.0,166.83023295,105561258.812,7358728043.72,20190407121700
XRP,XRP,14921626515.0,0.357457610487,41743765071.0,1489814713.69,20190407121700
Litecoin,LTC,5563161959.04,90.8463244931,61237061.489,3755679986.83,20190407121700
Bitcoin Cash,BCH,5561261754.76,313.918905076,17715600.0,2671626230.53,20190407121700
EOS,EOS,4858382236.13,5.36100238421,906245117.6,2939598065.05,20190407121700
Binance Coin,BNB,2684739627.36,19.0170377504,141175490.242,145373638.322,20190407121700
Stellar,XLM,2450513087.92,0.127169449514,19269668126.1,331038461.736,20190407121700
Cardano,ADA,2320823184.64,0.08951351373230002,25927070538.0,101951007.686,20190407121700
Tether,USDT,2092208933.73,1.00571334752,2080323323.63,17467650263.3,20190407121700
TRON,TRX,1882411338.05,0.0282296466829,66682072191.4,533171830.342,20190407121700
Bitcoin SV,BSV,1500282497.3,84.90395872810001,17670348.0,207342252.646,20190407121700
Monero,XMR,1160960389.01,68.68042018770001,16903804.4007,93899219.9955,20190407121700
Dash,DASH,1157757783.3,132.493155774,8738245.96096,359156840.761,20190407121700
IOTA,MIOTA,1001114381.2,0.360173942813,2779530283.0,20683724.4472,20190407121700
NEO,NEO,835556653.0669999,12.8547177395,65000000.0,266360373.195,20190407121700
Ethereum Classic,ETC,805007478.618,7.34858134233,109545971.0,1086411481.88,20190407121700
Maker,MKR,771762858.089,771.7628580889999,1000000.0,904935.21109,20190407121700
Ontology,ONT,751492693.979,1.51870939427,494823234.0,89357048.2489,20190407121700
Tezos,XTZ,649280234.705,0.981006674343,661850986.019,5976132.12535,20190407121700
NEM,XEM,636151389.669,0.07068348774889999,8999999999.0,26408003.1232,20190407121700
Zcash,ZEC,454078370.00699997,72.4692644314,6265806.25,331289495.126,20190407121700
VeChain,VET,419386653.84300005,0.00756268432904,55454734800.0,15232894.4725,20190407121700
